sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",propafenone,72,83,coronary artery disease,177,200
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",citalopram,88,98,dizziness,146,155
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",propafenone,72,83,dizziness,146,155
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",citalopram,88,98,falls,157,162
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",propafenone,72,83,falls,157,162
"Three months after starting citalopram, she experienced episodes of chest tightness and dizziness.",citalopram,28,38,chest tightness,68,83
"Three months after starting citalopram, she experienced episodes of chest tightness and dizziness.",citalopram,28,38,dizziness,88,97
"CONCLUSIONS: Clinicians should be aware of this adverse reaction when facing similar complex neurologic symptoms in patients who are receiving the antibiotic treatment described here, especially vancomycin.",vancomycin,195,205,neurologic symptoms,93,112
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",piperacillin,163,175,neuralgic amyotrophy,73,93
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",tazobactam,176,186,neuralgic amyotrophy,73,93
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",tobramycin,147,157,neuralgic amyotrophy,73,93
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",vancomycin,135,145,neuralgic amyotrophy,73,93
Seizures and transient blindness following intravenous pulse methylprednisolone in children with primary glomerulonephritis.,methylprednisolone,61,79,Seizures,0,8
Seizures and transient blindness following intravenous pulse methylprednisolone in children with primary glomerulonephritis.,methylprednisolone,61,79,transient blindness,13,32
"Two children, 1 with idiopathic nephrotic syndrome and 1 with endo-extracapillary glomerulonephritis, presented an episode of seizures and transient blindness at different times after i.v. pulse methylprednisolone (IVPMP) treatment.",methylprednisolone,195,213,seizures,126,134
"Two children, 1 with idiopathic nephrotic syndrome and 1 with endo-extracapillary glomerulonephritis, presented an episode of seizures and transient blindness at different times after i.v. pulse methylprednisolone (IVPMP) treatment.",methylprednisolone,195,213,transient blindness,139,158
BACKGROUND: Hydroxyurea is a cytostatic agent used to treat myeloproliferative disorders and long-term treatment is associated with mucocutaneous adverse events and nail hyperpigmentation.,Hydroxyurea,12,23,mucocutaneous adverse events,132,160
BACKGROUND: Hydroxyurea is a cytostatic agent used to treat myeloproliferative disorders and long-term treatment is associated with mucocutaneous adverse events and nail hyperpigmentation.,Hydroxyurea,12,23,nail hyperpigmentation,165,187
"Based on the Naranjo algorithm, the adverse reaction observed was probably related to the hydroxyurea treatment (score = 6); however, the hydroxyurea chemotherapy could not be discontinued because of the myeloproliferative disorder.",hydroxyurea,90,101,myeloproliferative disorder,204,231
Both the longitudinal melanonychia and the multiple skin cancers first appeared after approximately 6 months of hydroxyurea treatment.,hydroxyurea,112,123,longitudinal melanonychia,9,34
Both the longitudinal melanonychia and the multiple skin cancers first appeared after approximately 6 months of hydroxyurea treatment.,hydroxyurea,112,123,multiple skin cancers,43,64
CONCLUSIONS: We report this case of the concomitant appearance of multiple skin cancers and nail changes associated with hydroxyurea use.,hydroxyurea,121,132,multiple skin cancers,66,87
CONCLUSIONS: We report this case of the concomitant appearance of multiple skin cancers and nail changes associated with hydroxyurea use.,hydroxyurea,121,132,nail changes,92,104
Hydroxyurea associated with concomitant occurrence of diffuse longitudinal melanonychia and multiple squamous cell carcinomas in an elderly subject.,Hydroxyurea,0,11,diffuse longitudinal melanonychia,54,87
Hydroxyurea associated with concomitant occurrence of diffuse longitudinal melanonychia and multiple squamous cell carcinomas in an elderly subject.,Hydroxyurea,0,11,multiple squamous cell carcinomas,92,125
"OBJECTIVE: The purpose of this study was to report the concomitant occurrence of multiple squamous cell carcinomas and diffuse nail hyperpigmentation associated with hydroxyurea treatment, and to describe a successful therapeutic approach using imiquimod 5%.",hydroxyurea,166,177,diffuse nail hyperpigmentation,119,149
"OBJECTIVE: The purpose of this study was to report the concomitant occurrence of multiple squamous cell carcinomas and diffuse nail hyperpigmentation associated with hydroxyurea treatment, and to describe a successful therapeutic approach using imiquimod 5%.",hydroxyurea,166,177,multiple squamous cell carcinomas,81,114
"The patient completed a 10-month follow-up, maintaining a complete resolution of the treated skin lesions; however, the development of a painful hand ulcer, possibly associated with the hydroxyurea, and new skin cancers were observed at the last follow-up visit.",hydroxyurea,186,197,painful hand ulcer,137,155
"The patient completed a 10-month follow-up, maintaining a complete resolution of the treated skin lesions; however, the development of a painful hand ulcer, possibly associated with the hydroxyurea, and new skin cancers were observed at the last follow-up visit.",hydroxyurea,186,197,skin cancers,207,219
It is the first case of ciprofloxacin-induced VBDS successfully treated with tacrolimus.,ciprofloxacin,24,37,VBDS,46,50
Vanishing bile duct and Stevens-Johnson syndrome associated with ciprofloxacin treated with tacrolimus.,ciprofloxacin,65,78,Stevens-Johnson syndrome,24,48
Vanishing bile duct and Stevens-Johnson syndrome associated with ciprofloxacin treated with tacrolimus.,ciprofloxacin,65,78,Vanishing bile duct,0,19
"We report a case of a patient with ciprofloxacin-induced SJS and acute onset of VBDS, and reviewed the related literature.",ciprofloxacin,35,48,SJS,57,60
"We report a case of a patient with ciprofloxacin-induced SJS and acute onset of VBDS, and reviewed the related literature.",ciprofloxacin,35,48,VBDS,80,84
A 64 year old woman with previous history of coronary stenting five days before was admitted in our institution for intracranial bleeding while receiving aspirin and clopidogrel.,aspirin,154,161,intracranial bleeding,116,137
A 64 year old woman with previous history of coronary stenting five days before was admitted in our institution for intracranial bleeding while receiving aspirin and clopidogrel.,clopidogrel,166,177,intracranial bleeding,116,137
Disseminated salmonellosis in a patient treated with temozolomide.,temozolomide,53,65,Disseminated salmonellosis,0,26
We describe the first case of disseminated salmonellosis in a patient treated with temozolomide.,temozolomide,83,95,disseminated salmonellosis,30,56
Ceftriaxone-induced fixed drug eruption: first report.,Ceftriaxone,0,11,fixed drug eruption,20,39
"FDE from cephalosporins has been rarely reported, and to the best of our knowledge there is no published report of ceftriaxone-induced FDE in the literature.",cephalosporins,9,23,FDE,0,3
"FDE from cephalosporins has been rarely reported, and to the best of our knowledge there is no published report of ceftriaxone-induced FDE in the literature.",ceftriaxone,115,126,FDE,0,3
We report the first case of a 54-year-old Turkish woman who presented with ceftriaxone-induced FDE.,ceftriaxone,75,86,FDE,95,98
"CONCLUSION: All doctors need to be aware of the need to review the indications for gabapentin use during periods of acute illness, especially with regard to renal impairment.",gabapentin,83,93,renal impairment,157,173
Gabapentin toxicity in renal failure: the importance of dose adjustment.,Gabapentin,0,10,renal failure,23,36
OBJECTIVE: This case report outlines a significant type of morbidity due to continued use of gabapentin during an episode of acute renal failure.,gabapentin,93,103,acute renal failure,125,144
Acute syphilitic posterior placoid chorioretinitis following intravitreal triamcinolone acetonide injection.,triamcinolone acetonide,74,97,Acute syphilitic posterior placoid chorioretinitis,0,50
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,IVTA,202,206,acute syphilitic posterior placoid chorioretinitis,84,134
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,triamcinolone acetonide,177,200,acute syphilitic posterior placoid chorioretinitis,84,134
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,IVTA,202,206,ASPPC,136,141
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,triamcinolone acetonide,177,200,ASPPC,136,141
CONCLUSIONS: The fundus picture shown in these cases may be typical of ASPPC after IVTA injection.,IVTA,83,87,ASPPC,71,76
RESULTS: Two patients with ocular inflammation of unknown origin developed severe chorioretinitis after IVTA injection.,IVTA,104,108,severe chorioretinitis,75,97
"Although it is difficult to solely attribute intratumoral hemorrhage to aspirin, we have to be careful when prescribing aspirin for patients who have asymptomatic meningioma.",aspirin,72,79,intratumoral hemorrhage,45,68
